[34manalyzer_2       |[0m 2023-01-03 11:51:32.524  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job fce128b1-2605-46e0-8909-daa88475c7d5: (33126453626[1764,826])
[34manalyzer_2       |[0m 2023-01-03 11:51:49.102  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 42973d59-4dec-44f0-9bfd-4f5b67ea093f: (33126453261[2476,1536])(33126453262[3671,1209])
[34manalyzer_2       |[0m 2023-01-03 11:51:53.650  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 01547751-b0a7-4607-b4aa-982ed8a98d35: (33126453261[2477,1536])
[34manalyzer_2       |[0m 2023-01-03 11:52:01.555  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job d9be59e5-6dd9-4496-8c95-9d0d6dcb4191: (33126454632[19,602])(33126453126[607,1165])(33126454312[2917,1469])
[34manalyzer_2       |[0m 2023-01-03 11:52:13.084  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 339c8463-8486-4856-9296-1d5ed20d24d8: (33126454632[661,570])(33126453161[1755,963])(33126454123[2699,177])(33126453126[2868,853])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:06.699  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job aa12aeb4-0c6a-4573-ad98-2c868f513794: (33126454132[241,427])(33126454131[1123,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:11.154  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 97421f8e-f2d5-48d1-af47-02216ce529a6: (33126454132[242,425])(33126454131[1123,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:27.014  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job fe67d89c-ea17-4be4-9f48-0758e61d1657: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:31.441  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job dd6c2333-8725-4d17-ac1c-043b06429924: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:48.564  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 8b5274aa-7a3f-4afc-a92e-616f1ec0e9ff: (33126453261[2476,1536])
[36;1manalyzer_3       |[0m 2023-01-03 11:47:57.008  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job c9501118-1de5-4bd2-9623-4dcfc3a919d1: (33126454632[18,600])(33126453126[607,1168])(33126454312[2918,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:48:01.480  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job f84c0b03-b480-4bf8-b69c-e60b73eca76f: (33126454632[18,602])(33126453126[606,1168])(33126454312[2918,1469])
[33;1manalyzer_4       |[0m 2023-01-03 11:46:21.529  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 73953705-861e-434c-b9be-35b4f1d33f1d: (33126454632[17,599])(33126453126[606,1168])(33126454312[2917,1469])
[33;1manalyzer_4       |[0m 2023-01-03 11:46:23.609  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 8989f53c-5ebd-4e9d-9850-4600b03ad958: (33126454632[18,599])(33126453126[606,1168])(33126454312[2918,1469])
[33;1manalyzer_4       |[0m 2023-01-03 11:46:24.551  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e0ea369e-ad94-45b4-9295-58b5b684d32b: (33126454632[662,573])(33126453161[1759,963])(33126454123[2699,177])(33126453126[2869,853])
[33;1manalyzer_4       |[0m 2023-01-03 11:46:40.546  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 3b2a743d-9afc-4084-a5a1-5e2a1180d36e: (33126453626[1765,826])
[33;1manalyzer_4       |[0m 2023-01-03 11:46:57.162  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job ed05b872-73c3-459f-a67b-b1b7c4aff040: (33126453261[2477,1537])(33126453262[3670,1209])
[33;1manalyzer_4       |[0m 2023-01-03 11:47:01.526  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 75934aeb-74c3-4ccc-a61b-f3b5f1d4317c: (33126453261[2476,1537])(33126453262[3671,1208])
[33;1manalyzer_4       |[0m 2023-01-03 11:47:10.552  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job db0ffb38-88ab-4168-a8eb-f2596075baa6: (33126454632[18,602])(33126453126[606,1168])(33126454312[2918,1469])
[33;1manalyzer_4       |[0m 2023-01-03 11:47:22.094  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job da127d40-ba3f-4c36-be61-b60afbbf8250: (33126454632[662,575])(33126453161[1756,966])(33126453126[2868,850])
[33;1manalyzer_4       |[0m 2023-01-03 11:47:39.095  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job ec1ab661-d323-4d11-a0d9-d32957022f42: (33126531145[1606,910])
[33;1manalyzer_4       |[0m 2023-01-03 11:48:08.052  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0d7881e1-8771-472f-a39e-a1074b4464b9: (33126454132[243,425])(33126454131[1122,326])
